ID,ClientProfile,AmountInINR,Period,Product → Name,Product
6994b897f4daf60018ef2c1f,6621179afd3e81006149c98b,"3,955",YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
6994d8ae44a3ce001fff5a09,62f331370c6f44001309b012,"1,735",QUATERLY,Accounts Lite,67ed22ef8812861b905e55ae
6994df3fc7b5de00405cc518,687645b9ad83be00486d12ca,"1,949",QUATERLY,Accounts Lite,67ed22ef8812861b905e55ae
69951ec1f3897c001fdd0994,64c7527e807d1c001197578e,"5,222",YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
69954912c9c2ad001140ca69,655ab28076072f00271103d4,"1,359",MONTHLY,Accounts Lite,67ed22ef8812861b905e55ae
6995502d87c1d10011256efd,69817ff39b2d450011eb00a2,"33,040",3YEARLY,Accounts Core & CRM Pro,68da88e49da3e16b928778bf
6995550444a3ce001f0cd021,692da163ba97be001165aff4,"2,360",YEARLY,Starter Plus,65cc64881cfc439f4e6d7b5d
699555acc9c2ad0011414b3d,675fd82d940e8d0741f990cb,"11,279",3YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
69955859f3897c001fe914df,5f07586cdd94ac2d8a2cd50a,"5,782",YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
699558d1bc7d3800111839b6,696880ab1dbfd700181d5537,"1,180",YEARLY,Freelancer,64c15973bf9d64959f848e3b
69955a6f44a3ce001f0f43f0,68aaa0a12d4a0f0027f28b3d,"2,360",YEARLY,Starter Plus,65cc64881cfc439f4e6d7b5d
69955cf2f3897c001feb9221,6980d5c6cd8e6f0018fc36b5,"4,000",YEARLY,Inventory Starter,674acc3f26156d43b1904648
69955d0fc7b5de00406da2d2,68fe87324a449b00121e4107,"4,720",YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
699560aff4daf6001803455f,65b9ff539618320020fb04e6,"5,222",YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
69956520f3897c001fefb904,69849e498736e1001ffc51e2,"9,440",YEARLY,CRM Pro,66ab9a17719448fd53e260e6
699565b044a3ce001f15983e,5f48cc06c0c878174ad447cf,"2,950",YEARLY,Starter Plus,65cc64881cfc439f4e6d7b5d
69956be815179f00184c9ae6,65a55b06ff1faa0019be646d,"14,160",YEARLY,Accounts GST,67ed22ef8812861b905e58bc
6995706846f44a001885004a,66bb4ea35d93500019489011,"3,000",YEARLY,Starter Plus,65cc64881cfc439f4e6d7b5d
6995712c43140b001fcabf6f,6899708377dcc7003d481f5f,"1,770",YEARLY,Starter Plus,65cc64881cfc439f4e6d7b5d
6995723ad09dc0002af2bdef,698cb03effcf6d002a414708,"4,720",YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
6995772a9953e900114711f7,69946019c2e68e0018776714,"8,260",YEARLY,Accounts GST,67ed22ef8812861b905e58bc
69957fbcd09dc0002af81da1,6993a407e02153002add3edd,"2,360",YEARLY,Starter Plus,65cc64881cfc439f4e6d7b5d
699581a57f0ce000111cadae,6746d27847fd9f00fbeebe15,"5,900",3YEARLY,Starter Plus,65cc64881cfc439f4e6d7b5d
699588ff46f44a0018909917,677d091743842a008dab4d78,"11,278",3YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
69958c5ad09dc0002afe3851,699444b6c2e68e001869e113,"11,000",LIFETIME,Accounts Lite,67ed22ef8812861b905e55ae
69958e82d09dc0002affbce9,698218e727497e00183f3788,"12,385",YEARLY,Accounts FTA,693d385cdba07afed36c9793
69958fbdc0a521002a97a54b,69955f91e27f9d002692c862,"12,385",YEARLY,Accounts FTA,693d385cdba07afed36c9793
69959060c0a521002a98091a,698c312cd7281e002a9fb4e6,"18,564",YEARLY,Accounts FTA,693d385cdba07afed36c9793
699590d046f44a0018964372,693959b0207c9200188b7bef,"5,000",3YEARLY,Freelancer,64c15973bf9d64959f848e3b
699595ec7f2e3983e7d5756b,60fa4c81a5ae210014ca08c9,"5,074",YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
69959711865b3035764f47f7,6788d90cdbb5540027d6201d,"4,130",YEARLY,Starter Plus,65cc64881cfc439f4e6d7b5d
699597f09953e9001157fbca,68359eafb46a4700355117ae,"7,262",YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
6995996865a9c5a983142705,69087eccd45d0700533f98b1,"1,416",YEARLY,Freelancer,64c15973bf9d64959f848e3b
69959da7c0a521002aa1194c,68b701618fba74004862a8a7,"3,099",QUATERLY,Accounts Lite,67ed22ef8812861b905e55ae
6995a7c805331e0011f30991,61a09c2d159aca00126f9b4d,"59,000",LIFETIME,Workflows,68da88e49da3e16b92877a41
6995ad489953e90011654ccf,69899168741dcb002a0d45bf,"22,939",3YEARLY,CRM Pro,66ab9a17719448fd53e260e6
6995af88d09dc0002a134c0d,65a43cd8554e680019b195fc,"9,898",YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
6995c18e15179f00187d3b42,620de0db21f6eb0012e5848a,"8,850",3YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
6995c5117f0ce000111f7dbb,68736dd4e6a6c5004c0934d4,"2,168",YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
6995c8689953e900116f22ff,69959fc0893645001fc38237,"10,000",YEARLY,CRM Pro,66ab9a17719448fd53e260e6
6995cbb27f0ce000111fd12d,697af779bf640c00115c5cdf,"46,180",YEARLY,Workflows & Inventory,68da88e69da3e16b92878651
6995cc9a15179f0018823c6d,6555f44bb144cf0018e19539,"11,611",3YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
6995d19615179f001883751c,68721279046a5b005b5c9155,"1,295",QUATERLY,Accounts Lite,67ed22ef8812861b905e55ae
6995d9f7c0a521002abdc1f9,6875dbf187cb8b0020d33672,"1,218",QUATERLY,Accounts Lite,67ed22ef8812861b905e55ae
6995dec69953e9001173d835,698a04c43f41b10011d0e782,"5,222",YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
6995e9439953e9001175c144,67234bcdd4f28800fb8da86a,"10,955",YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
6995f75d46f44a0018bd26f7,65cc85e60b062a0019e36b4c,"49,439",LIFETIME,Accounts Lite,67ed22ef8812861b905e55ae
699601b298c9a237ab82b768,6372ad31610fbe00128eacd3,155,MONTHLY,CRM Essentials,66ab9a17719448fd53e25e04
699609f3d09dc0002a2ccf1a,657849883c8d04002b83ac79,"10,111",YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
69962a20c0a521002ac95f46,693335ab1937470011872d60,"12,030",YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
69963e8e9953e90011802d21,67d13e4f21a6ed0106cd2129,"1,628",MONTHLY,Accounts,67ed22f08812861b905e5a7d
69964bdf893645001fe82756,632b32d3a426b00014dbdab6,699,MONTHLY,Accounts Lite,67ed22ef8812861b905e55ae
69964cb615179f0018924a78,615dcf9478a8d40012342ff5,"11,364",YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
699663d9e7955d0011968af3,696485ccf396e6002a48cacc,"10,195",YEARLY,CRM Essentials,66ab9a17719448fd53e25e04
699664b6893645001fe96687,68410ad9f3ff110020fdc5a2,"1,999",QUATERLY,Accounts Lite,67ed22ef8812861b905e55ae
699683a49953e9001183d12a,69967d6343140b001f09e3f2,"8,836",YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
6996877615179f001895ca15,691bf828c1be9f0011b3e4a8,"4,956",YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
6996a095893645001ff24227,68306f69c122f0003c18d2fa,"1,770",YEARLY,Freelancer,64c15973bf9d64959f848e3b
6996a37d05331e0011f60b1e,6634aa2b17dbcd00570e3c1b,"3,088",QUATERLY,Accounts Lite,67ed22ef8812861b905e55ae
6996a57446f44a0018d15e48,6018d8484f68e8717fadf757,"5,222",YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
6996aeb915179f0018a4ab55,69806b9fcd8e6f0018c8920b,"11,328",YEARLY,CRM Pro,66ab9a17719448fd53e260e6
6996aec49953e90011934e39,690c79dd8506000057d0bab3,"4,564",3YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
6996af24e373700f25d351a8,693fa79ccc2cc00026562ccb,"2,360",YEARLY,Starter Plus,65cc64881cfc439f4e6d7b5d
6996afe146f44a0018d79fd8,682c5f64d56f93004bc778e8,"1,217",QUATERLY,Accounts Lite,67ed22ef8812861b905e55ae
6996b2337f0ce0001121a2a3,680956888a8b440047e72430,"2,468",3YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
6996b36546f44a0018d9b9cb,66927e1571a6c50019b86e5f,"2,000",YEARLY,Starter Plus,65cc64881cfc439f4e6d7b5d
6996bb5ec0a521002ae66669,5f9295d35611891e00d1f94b,"13,000",YEARLY,Workflows,68da88e49da3e16b92877a41
6996bbef15179f0018abc9fd,64c1459edfb6c90011ee3943,"8,479",3YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
6996c283d09dc0002a4e4872,69207a823d6837002a057030,"1,000",YEARLY,Freelancer,64c15973bf9d64959f848e3b
6996c321d9ee4ce84c0b421e,63652e6a3424a2001112d55e,"1,999",QUATERLY,Accounts Lite,67ed22ef8812861b905e55ae
6996c321d9ee4ce84c0b427f,689dfc353cad99002bac2ef2,"15,407",YEARLY,Accounts,67ed22f08812861b905e5a7d
6996c38c7f0ce00011228586,68b1b0f00f061900194bb24f,"12,599",YEARLY,Inventory Starter,674acc3f26156d43b1904648
6996c721c0a521002aecef37,668bd63c956228001f59606e,"5,192",YEARLY,Accounts Lite,67ed22ef8812861b905e55ae
