ID,ClientProfile,InvoiceNumber,Product,AmountInINR,InvoiceDate: Day,Period,Product → Name
699609f3d09dc0002a2ccf1a,657849883c8d04002b83ac79,80424,67ed22ef8812861b905e55ae,"10,111","Thursday, February 19, 2026",YEARLY,Accounts Lite
69962a20c0a521002ac95f46,693335ab1937470011872d60,80425,67ed22ef8812861b905e55ae,"12,030","Thursday, February 19, 2026",YEARLY,Accounts Lite
69963e8e9953e90011802d21,67d13e4f21a6ed0106cd2129,2025-26/MY/00049,67ed22f08812861b905e5a7d,"1,628","Thursday, February 19, 2026",MONTHLY,Accounts
69964bdf893645001fe82756,632b32d3a426b00014dbdab6,80426,67ed22ef8812861b905e55ae,699,"Thursday, February 19, 2026",MONTHLY,Accounts Lite
69964cb615179f0018924a78,615dcf9478a8d40012342ff5,80427,67ed22ef8812861b905e55ae,"11,364","Thursday, February 19, 2026",YEARLY,Accounts Lite
699663d9e7955d0011968af3,696485ccf396e6002a48cacc,80428,66ab9a17719448fd53e25e04,"10,195","Thursday, February 19, 2026",YEARLY,CRM Essentials
699664b6893645001fe96687,68410ad9f3ff110020fdc5a2,80429,67ed22ef8812861b905e55ae,"1,999","Thursday, February 19, 2026",QUATERLY,Accounts Lite
699683a49953e9001183d12a,69967d6343140b001f09e3f2,80430,67ed22ef8812861b905e55ae,"8,836","Thursday, February 19, 2026",YEARLY,Accounts Lite
6996877615179f001895ca15,691bf828c1be9f0011b3e4a8,80431,67ed22ef8812861b905e55ae,"4,956","Thursday, February 19, 2026",YEARLY,Accounts Lite
6996a095893645001ff24227,68306f69c122f0003c18d2fa,80432,64c15973bf9d64959f848e3b,"1,770","Thursday, February 19, 2026",YEARLY,Freelancer
6996a37d05331e0011f60b1e,6634aa2b17dbcd00570e3c1b,80433,67ed22ef8812861b905e55ae,"3,088","Thursday, February 19, 2026",QUATERLY,Accounts Lite
6996a57446f44a0018d15e48,6018d8484f68e8717fadf757,80434,67ed22ef8812861b905e55ae,"5,222","Thursday, February 19, 2026",YEARLY,Accounts Lite
6996aeb915179f0018a4ab55,69806b9fcd8e6f0018c8920b,80435,66ab9a17719448fd53e260e6,"11,328","Thursday, February 19, 2026",YEARLY,CRM Pro
6996aec49953e90011934e39,690c79dd8506000057d0bab3,80436,67ed22ef8812861b905e55ae,"4,564","Thursday, February 19, 2026",3YEARLY,Accounts Lite
6996af24e373700f25d351a8,693fa79ccc2cc00026562ccb,80437,65cc64881cfc439f4e6d7b5d,"2,360","Thursday, February 19, 2026",YEARLY,Starter Plus
6996afe146f44a0018d79fd8,682c5f64d56f93004bc778e8,80438,67ed22ef8812861b905e55ae,"1,217","Thursday, February 19, 2026",QUATERLY,Accounts Lite
6996b2337f0ce0001121a2a3,680956888a8b440047e72430,80439,67ed22ef8812861b905e55ae,"2,468","Thursday, February 19, 2026",3YEARLY,Accounts Lite
6996b36546f44a0018d9b9cb,66927e1571a6c50019b86e5f,80440,65cc64881cfc439f4e6d7b5d,"2,000","Thursday, February 19, 2026",YEARLY,Starter Plus
6996bb5ec0a521002ae66669,5f9295d35611891e00d1f94b,80441,68da88e49da3e16b92877a41,"13,000","Thursday, February 19, 2026",YEARLY,Workflows
6996bbef15179f0018abc9fd,64c1459edfb6c90011ee3943,80442,67ed22ef8812861b905e55ae,"8,479","Thursday, February 19, 2026",3YEARLY,Accounts Lite
6996c283d09dc0002a4e4872,69207a823d6837002a057030,80443,64c15973bf9d64959f848e3b,"1,000","Thursday, February 19, 2026",YEARLY,Freelancer
6996c321d9ee4ce84c0b421e,63652e6a3424a2001112d55e,80444,67ed22ef8812861b905e55ae,"1,999","Thursday, February 19, 2026",QUATERLY,Accounts Lite
6996c321d9ee4ce84c0b427f,689dfc353cad99002bac2ef2,80444,67ed22f08812861b905e5a7d,"15,407","Thursday, February 19, 2026",YEARLY,Accounts
6996c38c7f0ce00011228586,68b1b0f00f061900194bb24f,80445,674acc3f26156d43b1904648,"12,599","Thursday, February 19, 2026",YEARLY,Inventory Starter
6996c721c0a521002aecef37,668bd63c956228001f59606e,80446,67ed22ef8812861b905e55ae,"5,192","Thursday, February 19, 2026",YEARLY,Accounts Lite
6996cca343140b001f29e653,65b3b4210e58b60020c2180c,80447,67ed22ef8812861b905e55ae,"9,835","Thursday, February 19, 2026",YEARLY,Accounts Lite
6996d65ae7955d0011c1094d,65322d90e6c5040012ac4c69,80448,65cc64881cfc439f4e6d7a2f,"2,200","Thursday, February 19, 2026",YEARLY,Books Starter (Invoices)
6996d7a346f44a0018edd191,689a45091081b40019f25103,80449,67ed22ef8812861b905e55ae,"6,416","Thursday, February 19, 2026",QUATERLY,Accounts Lite
6996d92f9953e90011aa80fd,6960d5e5693a12001174996b,80450,67ed22ef8812861b905e55ae,"1,843","Thursday, February 19, 2026",MONTHLY,Accounts Lite
