Month,Grace_Months,Audited_Churned_Clients,Reported_Churned_Clients,Clients_Match,Audited_Churned_MRR,Reported_Churned_MRR,MRR_Match
2021-03,2,0,0,TRUE,0.0,0.0,TRUE
2021-04,2,0,0,TRUE,0.0,0.0,TRUE
2021-05,2,4,4,TRUE,5891.0,5891.0,TRUE
2021-06,2,20,20,TRUE,7887.0,7887.0,TRUE
2021-07,2,26,26,TRUE,11364.0,11364.0,TRUE
2021-08,2,38,38,TRUE,14339.0,14339.0,TRUE
2021-09,2,74,74,TRUE,23453.0,23453.0,TRUE
2021-10,2,49,49,TRUE,16176.0,16176.0,TRUE
2021-11,2,89,89,TRUE,25834.0,25834.0,TRUE
2021-12,2,85,85,TRUE,27811.0,27811.0,TRUE
2022-01,2,108,108,TRUE,26033.0,26033.0,TRUE
2022-02,2,92,92,TRUE,27656.0,27656.0,TRUE
2022-03,2,85,85,TRUE,29256.0,29256.0,TRUE
2022-04,2,72,72,TRUE,22954.17,22954.17,TRUE
2022-05,2,56,56,TRUE,17047.25,17047.25,TRUE
2022-06,2,28,28,TRUE,7729.33,7729.33,TRUE
2022-07,2,19,19,TRUE,3501.17,3501.17,TRUE
2022-08,2,47,47,TRUE,11942.58,11942.58,TRUE
2022-09,2,73,73,TRUE,20528.5,20528.5,TRUE
2022-10,2,63,63,TRUE,15574.0,15574.0,TRUE
2022-11,2,69,69,TRUE,16607.17,16607.17,TRUE
2022-12,2,114,114,TRUE,21431.24,21431.24,TRUE
2023-01,2,55,55,TRUE,12181.25,12181.25,TRUE
2023-02,2,49,49,TRUE,11236.5,11236.5,TRUE
2023-03,2,46,46,TRUE,12620.92,12620.92,TRUE
2023-04,2,53,53,TRUE,14853.5,14853.5,TRUE
2023-05,2,59,59,TRUE,15662.92,15662.92,TRUE
2023-06,2,96,96,TRUE,29636.19,29636.19,TRUE
2023-07,2,67,67,TRUE,17314.1,17314.1,TRUE
2023-08,2,61,61,TRUE,16217.76,16217.76,TRUE
2023-09,2,74,74,TRUE,20767.67,20767.67,TRUE
2023-10,2,74,74,TRUE,21116.33,21116.33,TRUE
2023-11,2,73,73,TRUE,22885.69,22885.69,TRUE
2023-12,2,80,80,TRUE,24045.08,24045.08,TRUE
2024-01,2,74,74,TRUE,20080.58,20080.58,TRUE
2024-02,2,100,100,TRUE,29063.03,29063.03,TRUE
2024-03,2,160,160,TRUE,56737.83,56737.83,TRUE
2024-04,2,108,108,TRUE,38589.87,38589.87,TRUE
2024-05,2,115,115,TRUE,39793.08,39793.08,TRUE
2024-06,2,92,92,TRUE,39470.53,39470.53,TRUE
2024-07,2,106,106,TRUE,39957.12,39957.12,TRUE
2024-08,2,135,135,TRUE,52431.47,52431.47,TRUE
2024-09,2,134,134,TRUE,52966.75,52966.75,TRUE
2024-10,2,139,139,TRUE,48810.5,48810.5,TRUE
2024-11,2,169,169,TRUE,67410.63,67410.63,TRUE
2024-12,2,158,158,TRUE,64158.81,64158.81,TRUE
2025-01,2,163,163,TRUE,66237.75,66237.75,TRUE
2025-02,2,162,162,TRUE,70312.0,70312.0,TRUE
2025-03,2,179,179,TRUE,83172.19,83172.19,TRUE
2025-04,2,220,220,TRUE,91681.75,91681.75,TRUE
2025-05,2,221,221,TRUE,105105.47,105105.47,TRUE
2025-06,2,237,237,TRUE,116827.06,116827.06,TRUE
2025-07,2,206,206,TRUE,110393.48,110393.48,TRUE
2025-08,2,230,230,TRUE,124593.7,124593.7,TRUE
2025-09,2,252,252,TRUE,127484.46,127484.46,TRUE
2025-10,2,223,223,TRUE,116953.74,116953.74,TRUE
2025-11,2,263,263,TRUE,153846.22,153846.22,TRUE
2025-12,2,228,228,TRUE,134066.23,134066.23,TRUE
2026-01,2,294,294,TRUE,179440.57,179440.57,TRUE
2026-02,2,378,378,TRUE,214097.88,214097.88,TRUE
