ClientProfile,Status,MRR_Trajectory,Current_Plan,Current_MRR,Latest_MRR,Avg_MRR,Annualized_Run_Rate,First_Period,Latest_Period,First_Product,Latest_Product,Renewal_Count,Historical_Revenue,Expansion_Revenue,Total_Revenue,Invoice_Count,Has_Reactivated,Churn_Count,Reactivation_Count,Account_Age_Months,First_Invoice_Date,Last_Invoice_Date,First_Active_Month,Last_Active_Month,Months_Active,Products
5c88986b239f67208b4edf90,CHURNED,CHURNED,Refrens Premium Subscription (India),0.0,250.0,250.0,0.0,MONTHLY,MONTHLY,Refrens Premium Subscription (India),Refrens Premium Subscription (India),2,750.0,0.0,750.0,3,TRUE,2,1,59,2021-03-31,2021-07-23,2021-03,2021-08,5,Refrens Premium Subscription (India)
5d3f09958d314803ac99f539,CHURNED,CHURNED,Refrens Premium Subscription (India),0.0,250.0,250.0,0.0,MONTHLY,MONTHLY,Refrens Premium Subscription (India),Refrens Premium Subscription (India),0,250.0,0.0,250.0,1,FALSE,1,0,59,2021-03-31,2021-03-31,2021-03,2021-04,2,Refrens Premium Subscription (India)
5d42918682102e2b956700d0,CHURNED,CHURNED,Refrens Premium Subscription (India),0.0,130.99,144.55,0.0,YEARLY,YEARLY,Refrens Premium Subscription (India),Refrens Premium Subscription (India),1,2899.0,0.0,2899.0,2,FALSE,1,0,59,2021-03-31,2021-11-30,2021-03,2022-11,21,Refrens Premium Subscription (India)
5d44195782102e2b95670145,CHURNED,CHURNED,Accounts Lite (Archived),0.0,334.33,334.33,0.0,YEARLY,YEARLY,Accounts Lite (Archived),Accounts Lite (Archived),0,4012.0,0.0,4012.0,1,FALSE,1,0,19,2024-07-05,2024-07-05,2024-07,2025-07,13,Accounts Lite (Archived)
5d8a0a866211201b671b6f45,ACTIVE,ACTIVE_STABLE,Books & Sales CRM,0.04,0.04,0.04,0.5,2YEARLY,2YEARLY,Books & Sales CRM,Books & Sales CRM,0,1.0,0.0,1.0,1,FALSE,0,0,20,2024-06-13,2024-06-13,2024-06,2026-02,21,Books & Sales CRM
5d8ae0486211201b671b70de,ACTIVE,ACTIVE_STABLE,Starter Plus,213.06,213.06,213.06,2556.67,3YEARLY,3YEARLY,Starter Plus,Starter Plus,0,7670.0,0.0,7670.0,1,FALSE,0,0,10,2025-04-02,2025-04-02,2025-04,2026-02,11,Starter Plus
5d930e06ec410d6419ace5f3,ACTIVE,ACTIVE_STABLE,Accounts Lite,442.5,442.5,306.69,5310.0,YEARLY,YEARLY,Refrens Premium Subscription (India),Accounts Lite,10,19628.0,1785.5,19628.0,11,TRUE,1,1,53,2021-09-14,2025-11-21,2021-09,2026-02,53,"Accounts Lite, Accounts Lite (Archived), Premium, Refrens Premium Subscription (India)"
5d9385ea99986b6fea4b532b,ACTIVE,ACTIVE_STABLE,Books,144.75,144.75,156.01,1737.04,YEARLY,3YEARLY,Books,Books,1,6250.0,0.0,6250.0,2,FALSE,0,0,29,2023-09-11,2024-01-31,2023-09,2026-02,30,Books
5dbd186a53faaa4d5ca7fc49,ACTIVE,ACTIVE_STABLE,Accounts GST,561.9,561.9,169.02,6742.86,3YEARLY,LIFETIME,Premium,Accounts GST,1,52499.0,34835.67,52499.0,2,FALSE,0,0,37,2023-01-30,2026-01-23,2023-01,2026-02,38,"Accounts GST, Premium"
5debf6c0bfc3301caa369323,ACTIVE,ACTIVE_STABLE,,948.92,948.92,1628.34,11387.0,YEARLY,YEARLY,,,3,43837.0,9440.0,43837.0,4,TRUE,1,1,34,2023-04-26,2025-09-25,2023-04,2026-02,25,
5dedcbb3bfc3301caa36934e,CHURNED,CHURNED,Refrens Premium Subscription (India),0.0,208.33,208.33,0.0,YEARLY,YEARLY,Refrens Premium Subscription (India),Refrens Premium Subscription (India),0,2500.0,0.0,2500.0,1,FALSE,1,0,53,2021-09-26,2021-09-26,2021-09,2022-09,13,Refrens Premium Subscription (India)
5df7d99cfcc12455ad91611c,ACTIVE,ACTIVE_STABLE,Freelancer,166.67,166.67,168.73,2000.0,YEARLY,3YEARLY,Refrens Premium Subscription (India),Freelancer,3,12099.0,1800.0,12099.0,4,TRUE,1,1,54,2021-08-19,2025-09-22,2021-08,2026-02,44,"Freelancer, Refrens Premium Subscription (India)"
