Month,Snapshot_Date,Core_MRR,Suspense_MRR,Total_MRR,Total_ARR,Active_Clients,Beginning_MRR,New_MRR,Expansion_MRR,Reactivation_MRR,Contraction_MRR,Churned_MRR,Net_New_MRR,New_Clients,Expansion_Clients,Reactivation_Clients,Contraction_Clients,Churned_Clients,Clients_With_Invoices,Inv_New_Clients,Inv_Expansion_Clients,Inv_Reactivation_Clients,Inv_Contraction_Clients,Inv_Churn_Clients,Inv_Retained_Flat_Clients,Inv_No_Month_End_MRR_Clients,NRR_Pct,GRR_Pct,Logo_Churn_Pct,Quick_Ratio,ARPU,Row_Type
2021-03,2021-03-31,10231.28,723.33,10954.61,131455.33,23,0.0,10231.28,0.0,0.0,0.0,0.0,10231.28,23,0,0,0,0,23,23,0,0,0,0,0,0,,,,,444.84,ACTUAL_MONTH_END
2021-04,2021-04-30,20738.03,3234.0,23972.03,287664.33,58,10231.28,10471.75,35.0,0.0,0.0,0.0,10506.75,35,2,0,0,0,38,35,2,0,0,0,1,0,100.34,100.0,0.0,,357.55,ACTUAL_MONTH_END
2021-05,2021-05-31,30267.22,1225.2,31492.43,377909.11,101,20738.03,13971.19,1449.0,0.0,0.0,5891.0,9529.19,47,1,0,0,4,48,47,1,0,0,0,0,0,78.58,71.59,6.9,2.62,299.68,ACTUAL_MONTH_END
2021-06,2021-06-30,45669.16,1758.13,47427.29,569127.48,167,30267.22,23043.93,19.0,250.0,24.0,7887.0,15401.93,85,1,1,2,20,92,85,1,1,2,0,2,1,73.93,73.86,19.8,2.95,273.47,ACTUAL_MONTH_END
2021-07,2021-07-31,83778.07,3070.74,86848.8,1042185.66,319,45669.16,49816.39,374.02,0.0,717.5,11364.0,38108.91,178,3,0,2,26,189,178,3,0,1,0,7,0,74.36,73.55,15.57,4.15,262.63,ACTUAL_MONTH_END
2021-08,2021-08-31,105927.43,3070.74,108998.17,1307977.99,436,83778.07,36938.61,169.58,1216.42,1836.25,14339.0,22149.36,150,3,5,15,38,188,150,3,5,15,0,15,0,80.9,80.69,11.91,2.37,242.95,ACTUAL_MONTH_END
2021-09,2021-09-30,132718.82,6435.71,139154.53,1669854.4,564,105927.43,49583.78,799.58,1338.33,1477.31,23453.0,26791.39,198,5,4,11,74,240,198,5,4,11,0,22,0,77.22,76.46,16.97,2.07,235.32,ACTUAL_MONTH_END
2021-10,2021-10-31,169013.76,6494.85,175508.62,2106103.38,709,132718.82,50882.33,564.61,2365.92,1341.92,16176.0,36294.94,186,8,8,13,49,245,186,8,8,12,0,31,0,87.23,86.8,8.69,3.07,238.38,ACTUAL_MONTH_END
2021-11,2021-11-30,180118.06,6494.85,186612.91,2239354.94,846,169013.76,39711.61,18.0,2208.92,5000.23,25834.0,11104.3,220,3,6,33,89,281,220,3,6,33,0,19,0,81.77,81.76,12.55,1.36,212.91,ACTUAL_MONTH_END
2021-12,2021-12-31,196767.91,6884.34,203652.25,2443826.98,934,180118.06,43169.93,646.5,2112.83,1468.42,27811.0,16649.85,166,10,7,10,85,223,166,10,7,9,0,31,0,84.1,83.74,10.05,1.57,210.67,ACTUAL_MONTH_END
2022-01,2022-01-31,209877.99,6884.34,216762.33,2601147.98,969,196767.91,37368.08,2206.75,3264.33,3696.08,26033.0,13110.08,131,11,12,27,108,207,131,11,12,25,0,28,0,86.01,84.89,11.56,1.44,216.59,ACTUAL_MONTH_END
2022-02,2022-02-28,223991.88,8691.51,232683.39,2792200.72,1022,209877.99,39431.97,302.86,3180.31,1145.25,27656.0,14113.89,131,10,14,11,92,187,131,10,14,10,0,21,1,86.42,86.28,9.49,1.49,219.17,ACTUAL_MONTH_END
2022-03,2022-03-31,216772.24,2444.25,219216.49,2630597.9,1023,223991.88,20726.78,1008.58,3192.08,2891.08,29256.0,-7219.64,74,22,12,22,85,164,74,22,12,21,0,35,0,86.1,85.65,8.32,0.78,211.9,ACTUAL_MONTH_END
2022-04,2022-04-30,220069.44,4134.17,224203.61,2690443.34,1055,216772.24,18586.67,1683.75,8056.61,2075.67,22954.17,3297.19,80,22,24,22,72,150,80,22,24,19,0,4,1,89.23,88.45,7.04,1.13,208.6,ACTUAL_MONTH_END
2022-05,2022-05-31,229152.72,5566.18,234718.89,2816626.74,1094,220069.44,22454.53,1811.33,2502.64,637.97,17047.25,9083.28,88,21,7,8,56,125,88,21,7,8,0,1,0,92.79,91.96,5.31,1.51,209.46,ACTUAL_MONTH_END
2022-06,2022-06-30,241832.97,6908.49,248741.46,2984897.48,1169,229152.72,19917.93,275.08,4445.33,4228.76,7729.33,12680.25,90,13,13,12,28,131,90,13,13,11,0,4,0,94.9,94.78,2.56,2.06,206.87,ACTUAL_MONTH_END
2022-07,2022-07-31,261886.19,8219.53,270105.72,3241268.62,1250,241832.97,23054.11,1982.67,1166.67,2649.06,3501.17,20053.23,96,10,4,24,19,147,96,10,4,23,0,10,4,98.28,97.46,1.63,4.26,209.51,ACTUAL_MONTH_END
2022-08,2022-08-31,278694.59,9612.41,288307.0,3459683.98,1328,261886.19,28729.44,430.0,4382.42,4790.89,11942.58,16808.39,114,14,11,48,47,194,114,14,11,44,0,7,4,93.77,93.61,3.76,2.0,209.86,ACTUAL_MONTH_END
