ClientProfile,Status,MRR_Trajectory,Current_Plan,Current_MRR,Latest_MRR,Avg_MRR,ACV,First_Period,Latest_Period,First_Product,Latest_Product,Renewal_Count,LTV,Expansion_Revenue,Total_Revenue,Invoice_Count,Has_Reactivated,Churn_Count,Reactivation_Count,Account_Age_Months,First_Invoice_Date,Last_Invoice_Date,First_Active_Month,Last_Active_Month,Months_Active,Products
5c88986b239f67208b4edf90,CHURNED,CHURNED,Refrens Premium Subscription (India),0.0,250.0,250.0,3000.0,MONTHLY,MONTHLY,Refrens Premium Subscription (India),Refrens Premium Subscription (India),2,750.0,0.0,750.0,3,True,2,1,60,2021-03-31,2021-07-23,2021-03,2021-08,5,Refrens Premium Subscription (India)
5d3f09958d314803ac99f539,CHURNED,CHURNED,Refrens Premium Subscription (India),0.0,250.0,250.0,3000.0,MONTHLY,MONTHLY,Refrens Premium Subscription (India),Refrens Premium Subscription (India),0,250.0,0.0,250.0,1,False,1,0,60,2021-03-31,2021-03-31,2021-03,2021-04,2,Refrens Premium Subscription (India)
5d42918682102e2b956700d0,CHURNED,CHURNED,Refrens Premium Subscription (India),0.0,75.0,109.89,900.0,YEARLY,YEARLY,Refrens Premium Subscription (India),Refrens Premium Subscription (India),1,2899.0,0.0,2899.0,2,False,1,0,60,2021-03-31,2021-11-30,2021-03,2022-11,21,Refrens Premium Subscription (India)
5d44195782102e2b95670145,CHURNED,CHURNED,Accounts Lite (Archived),0.0,334.33,334.33,4012.0,YEARLY,YEARLY,Accounts Lite (Archived),Accounts Lite (Archived),0,4012.0,0.0,4012.0,1,False,1,0,20,2024-07-05,2024-07-05,2024-07,2025-07,13,Accounts Lite (Archived)
5d8a0a866211201b671b6f45,ACTIVE,NEW,Books & Sales CRM,0.04,0.04,0.04,0.0,2YEARLY,2YEARLY,Books & Sales CRM,Books & Sales CRM,0,1.0,0.0,1.0,1,False,0,0,21,2024-06-13,2024-06-13,2024-06,2026-06,25,Books & Sales CRM
5d8ae0486211201b671b70de,ACTIVE,NEW,Starter Plus,213.06,213.06,213.06,2557.0,3YEARLY,3YEARLY,Starter Plus,Starter Plus,0,7670.0,0.0,7670.0,1,False,0,0,11,2025-04-02,2025-04-02,2025-04,2028-04,37,Starter Plus
5d930e06ec410d6419ace5f3,ACTIVE,ACTIVE_CONTRACTED,Accounts Lite,442.5,442.5,336.8,5310.0,YEARLY,YEARLY,Refrens Premium Subscription (India),Accounts Lite,10,19628.0,1786.0,19628.0,11,True,1,1,54,2021-09-14,2025-11-21,2021-09,2026-11,62,"Refrens Premium Subscription (India), Premium, Accounts Lite (Archived), Accounts Lite"
5d9385ea99986b6fea4b532b,ACTIVE,ACTIVE_CONTRACTED,Books,97.22,97.22,110.09,1167.0,YEARLY,3YEARLY,Books,Books,1,6250.0,0.0,6250.0,2,False,0,0,30,2023-09-11,2024-01-31,2023-09,2027-01,41,Books
5dbd186a53faaa4d5ca7fc49,ACTIVE,ACTIVE_EXPANDED,Accounts GST,561.9,561.9,439.74,6743.0,3YEARLY,LIFETIME,Premium,Accounts GST,1,52499.0,34836.0,52499.0,2,False,0,0,38,2023-01-30,2026-01-23,2023-01,2033-01,121,"Premium, Accounts GST"
5debf6c0bfc3301caa369323,ACTIVE,ACTIVE_CONTRACTED,nan,948.92,948.92,1084.59,11387.0,,,nan,nan,3,43837.0,9440.0,43837.0,4,True,1,1,35,2023-04-26,2025-09-25,2023-04,2026-09,32,
5dedcbb3bfc3301caa36934e,CHURNED,CHURNED,Refrens Premium Subscription (India),0.0,208.33,208.33,2500.0,YEARLY,YEARLY,Refrens Premium Subscription (India),Refrens Premium Subscription (India),0,2500.0,0.0,2500.0,1,False,1,0,54,2021-09-26,2021-09-26,2021-09,2022-09,13,Refrens Premium Subscription (India)
5df7d99cfcc12455ad91611c,ACTIVE,ACTIVE_EXPANDED,Freelancer,166.67,166.67,170.32,2000.0,YEARLY,3YEARLY,Refrens Premium Subscription (India),Freelancer,3,12099.0,1800.0,12099.0,4,True,1,1,55,2021-08-19,2025-09-22,2021-08,2028-09,75,"Refrens Premium Subscription (India), Freelancer"
5e1597806e05c36ed2c14616,CHURNED,CHURNED,Freelancer,0.0,177.0,177.0,2124.0,YEARLY,YEARLY,Freelancer,Freelancer,0,2124.0,0.0,2124.0,1,False,1,0,15,2024-12-13,2024-12-13,2024-12,2025-12,13,Freelancer
5e1808d56e05c36ed2c14b25,CHURNED,CHURNED,Books & Sales CRM,0.0,458.33,458.33,5500.0,YEARLY,YEARLY,Books & Sales CRM,Books & Sales CRM,0,5500.0,0.0,5500.0,1,False,1,0,31,2023-08-24,2023-08-24,2023-08,2024-08,13,Books & Sales CRM
5e1c49b99b4b9253ddb8688d,CHURNED,CHURNED,Premium,0.0,152.75,152.75,1833.0,3YEARLY,3YEARLY,Premium,Premium,0,5499.0,0.0,5499.0,1,False,1,0,38,2023-01-24,2023-01-24,2023-01,2026-01,37,Premium
5e214fc1f41ae11f5a14daf6,ACTIVE,ACTIVE_EXPANDED,Accounts Lite,773.0,773.0,350.93,9276.0,YEARLY,QUATERLY,Books,Accounts Lite,2,8859.0,1974.0,8859.0,3,True,1,1,30,2023-09-04,2026-03-02,2023-09,2026-06,29,"Books, Starter Plus, Accounts Lite"
5e26b88be0e93276268444ae,ACTIVE,ACTIVE_EXPANDED,Accounts Lite,462.08,462.08,374.57,5545.0,YEARLY,YEARLY,Premium,Accounts Lite,2,12793.0,2545.0,12793.0,3,False,0,0,34,2023-05-27,2025-05-30,2023-05,2026-05,37,"Premium, Accounts Lite (Archived), Accounts Lite"
5e288003e0e9327626844cf6,ACTIVE,ACTIVE_EXPANDED,Accounts GST,991.25,509.42,523.02,6113.0,YEARLY,YEARLY,Refrens Premium Grandfather Plan,Accounts GST,5,24001.0,4962.0,24001.0,6,True,3,3,60,2021-03-31,2025-10-14,2021-03,2026-10,50,"Refrens Premium Grandfather Plan, Premium, Books, Accounts (Archived), Accounts Lite"
5e2f3a34aa10674e323cdbba,CHURNED,CHURNED,Refrens Premium Subscription (India),0.0,100.0,100.0,1200.0,3YEARLY,3YEARLY,Refrens Premium Subscription (India),Refrens Premium Subscription (India),0,3600.0,0.0,3600.0,1,False,1,0,51,2021-12-15,2021-12-15,2021-12,2024-12,37,Refrens Premium Subscription (India)
5e313d124cd3121dd43d353d,ACTIVE,ACTIVE_CONTRACTED,Starter Plus,196.67,196.67,209.73,2360.0,YEARLY,3YEARLY,Starter Plus,Starter Plus,1,10080.0,0.0,10080.0,2,False,0,0,19,2024-08-06,2025-08-07,2024-08,2028-08,49,Starter Plus
5e341e1f0a43f7222b35b16f,CHURNED,CHURNED,Refrens Premium Subscription (India),0.0,166.58,166.58,1999.0,YEARLY,YEARLY,Refrens Premium Subscription (India),Refrens Premium Subscription (India),0,1999.0,0.0,1999.0,1,False,1,0,60,2021-03-31,2021-03-31,2021-03,2022-03,13,Refrens Premium Subscription (India)
5e3814fdb470203a397e0178,CHURNED,CHURNED,Refrens Premium Subscription (India),0.0,75.0,75.0,900.0,YEARLY,YEARLY,Refrens Premium Subscription (India),Refrens Premium Subscription (India),0,900.0,0.0,900.0,1,False,1,0,52,2021-11-28,2021-11-28,2021-11,2022-11,13,Refrens Premium Subscription (India)
5e390842b470203a397e03e3,ACTIVE,ACTIVE_EXPANDED,Accounts Lite,442.5,442.5,429.15,5310.0,QUATERLY,YEARLY,Accounts Lite (Archived),Accounts Lite,2,11210.0,944.0,11210.0,3,False,0,0,21,2024-06-04,2025-09-08,2024-06,2026-09,28,"Accounts Lite (Archived), Accounts Lite"
5e391e37b470203a397e04da,CHURNED,CHURNED,Accounts Lite (Archived),0.0,334.33,334.33,4012.0,YEARLY,YEARLY,Accounts Lite (Archived),Accounts Lite (Archived),0,4012.0,0.0,4012.0,1,False,1,0,16,2024-11-08,2024-11-08,2024-11,2025-11,13,Accounts Lite (Archived)
5e3ba55fb470203a397e114f,ACTIVE,NEW,Starter Plus,166.67,166.67,166.67,2000.0,3YEARLY,3YEARLY,Starter Plus,Starter Plus,0,6000.0,0.0,6000.0,1,False,0,0,21,2024-06-11,2024-06-11,2024-06,2027-06,37,Starter Plus
5e3bbe76b470203a397e1258,ACTIVE,NEW,nan,862.58,862.58,862.58,10351.0,,,nan,nan,0,10351.0,0.0,10351.0,1,False,0,0,10,2025-05-01,2025-05-01,2025-05,2026-05,13,
5e3c6a05b470203a397e19f0,CHURNED,CHURNED,Refrens Premium Subscription (India),0.0,166.58,166.58,1999.0,YEARLY,YEARLY,Refrens Premium Subscription (India),Refrens Premium Subscription (India),0,1999.0,0.0,1999.0,1,False,1,0,42,2022-09-23,2022-09-23,2022-09,2023-09,13,Refrens Premium Subscription (India)
