Month,Total_MRR,Total_ARR,Active_Clients,Beginning_MRR,New_MRR,Expansion_MRR,Reactivation_MRR,Contraction_MRR,Churned_MRR,Net_New_MRR,New_Clients,Expansion_Clients,Reactivation_Clients,Contraction_Clients,Churned_Clients,Clients_With_Invoices,Inv_New_Clients,Inv_Expansion_Clients,Inv_Reactivation_Clients,Inv_Contraction_Clients,Inv_Retained_Flat_Clients,NRR_Pct,GRR_Pct,Logo_Churn_Pct,Quick_Ratio,ARPU,Row_Type,Contracted_MRR,Trend_New_MRR,Trend_Expansion_MRR,Trend_Reactivation_MRR,Trend_Contraction_MRR,Trend_Churn_MRR
2021-03,11223.0,134682.0,23,0.0,10231.0,0.0,0.0,0.0,0.0,10231.0,23.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,,,,,488.0,ACTUAL,,,,,,
2021-04,23972.0,287664.0,58,11223.0,10472.0,35.0,0.0,0.0,0.0,10507.0,35.0,2.0,0.0,0.0,0.0,38.0,35.0,2.0,0.0,0.0,1.0,100.31,100.0,,,413.0,ACTUAL,,,,,,
2021-05,31362.0,376345.0,101,23972.0,13971.0,1449.0,0.0,0.0,5891.0,9529.0,47.0,1.0,0.0,0.0,4.0,48.0,47.0,1.0,0.0,0.0,0.0,81.47,75.43,6.9,2.62,311.0,ACTUAL,,,,,,
2021-06,47300.0,567602.0,168,31362.0,23059.0,23.0,250.0,24.0,7887.0,15421.0,86.0,2.0,1.0,2.0,20.0,92.0,86.0,2.0,1.0,2.0,1.0,74.85,74.78,19.8,2.95,282.0,ACTUAL,,,,,,
2021-07,85686.0,1028227.0,319,47300.0,49858.0,335.0,0.0,680.0,11588.0,37925.0,178.0,3.0,0.0,1.0,27.0,189.0,178.0,3.0,0.0,1.0,7.0,74.77,74.06,16.07,4.09,269.0,ACTUAL,,,,,,
2021-08,109323.0,1311875.0,436,85686.0,36939.0,429.0,1216.0,608.0,14339.0,23637.0,150.0,5.0,5.0,13.0,38.0,188.0,150.0,5.0,5.0,13.0,15.0,83.06,82.56,11.91,2.58,251.0,ACTUAL,,,,,,
2021-09,137743.0,1652920.0,564,109323.0,49584.0,1266.0,1338.0,1986.0,23453.0,26749.0,198.0,7.0,4.0,12.0,74.0,240.0,198.0,7.0,4.0,9.0,22.0,77.89,76.73,16.97,2.05,244.0,ACTUAL,,,,,,
2021-10,173131.0,2077569.0,709,137743.0,50882.0,815.0,2366.0,2579.0,16176.0,35308.0,186.0,8.0,8.0,14.0,49.0,245.0,186.0,8.0,8.0,12.0,31.0,86.98,86.38,8.69,2.88,244.0,ACTUAL,,,,,,
2021-11,184520.0,2214236.0,846,173131.0,39712.0,519.0,2209.0,5217.0,25834.0,11389.0,220.0,5.0,6.0,34.0,89.0,281.0,220.0,5.0,6.0,32.0,18.0,82.36,82.07,12.55,1.37,218.0,ACTUAL,,,,,,
2021-12,200500.0,2406005.0,934,184520.0,43170.0,730.0,2113.0,2318.0,27811.0,15884.0,166.0,10.0,7.0,11.0,85.0,223.0,166.0,10.0,7.0,9.0,31.0,84.07,83.67,10.05,1.53,215.0,ACTUAL,,,,,,
2022-01,215314.0,2583766.0,969,200500.0,37368.0,2290.0,3264.0,2076.0,26033.0,14813.0,131.0,12.0,12.0,26.0,108.0,207.0,131.0,12.0,12.0,24.0,28.0,87.12,85.98,11.56,1.53,222.0,ACTUAL,,,,,,
2022-02,228633.0,2743600.0,1023,215314.0,39432.0,303.0,3220.0,2696.0,27656.0,12603.0,131.0,10.0,15.0,13.0,92.0,187.0,131.0,10.0,15.0,10.0,21.0,86.04,85.9,9.49,1.42,223.0,ACTUAL,,,,,,
2022-03,221141.0,2653689.0,1023,228633.0,20727.0,2634.0,3192.0,1722.0,29296.0,-4465.0,74.0,28.0,12.0,16.0,86.0,164.0,74.0,28.0,12.0,15.0,35.0,87.59,86.43,8.41,0.86,216.0,ACTUAL,,,,,,
2022-04,223001.0,2676006.0,1056,221141.0,18591.0,1973.0,8057.0,3905.0,22954.0,1761.0,81.0,23.0,24.0,28.0,72.0,150.0,81.0,23.0,24.0,18.0,4.0,88.75,87.85,7.04,1.07,211.0,ACTUAL,,,,,,
2022-05,229476.0,2753709.0,1094,223001.0,22455.0,1811.0,2503.0,2142.0,17051.0,7575.0,88.0,21.0,7.0,13.0,57.0,125.0,88.0,21.0,7.0,8.0,1.0,92.21,91.39,5.4,1.39,210.0,ACTUAL,,,,,,
2022-06,244484.0,2933811.0,1169,229476.0,19918.0,417.0,4379.0,3279.0,7729.0,13705.0,90.0,13.0,13.0,11.0,28.0,131.0,90.0,13.0,13.0,11.0,4.0,95.38,95.2,2.56,2.25,209.0,ACTUAL,,,,,,
2022-07,263944.0,3167332.0,1250,244484.0,23054.0,1467.0,1167.0,2556.0,3501.0,19630.0,96.0,9.0,4.0,25.0,19.0,147.0,96.0,9.0,4.0,23.0,15.0,98.12,97.52,1.63,4.24,211.0,ACTUAL,,,,,,
2022-08,281198.0,3374375.0,1328,263944.0,28730.0,1891.0,4382.0,4984.0,11923.0,18096.0,114.0,18.0,11.0,41.0,47.0,194.0,114.0,18.0,11.0,41.0,10.0,94.31,93.59,3.76,2.07,212.0,ACTUAL,,,,,,
2022-09,290167.0,3482004.0,1383,281198.0,26568.0,4059.0,2257.0,3811.0,20529.0,8545.0,120.0,25.0,8.0,30.0,73.0,184.0,120.0,25.0,8.0,25.0,6.0,92.79,91.34,5.5,1.35,210.0,ACTUAL,,,,,,
2022-10,310029.0,3720348.0,1459,290167.0,27977.0,10758.0,847.0,3956.0,15507.0,20119.0,133.0,48.0,6.0,18.0,63.0,195.0,133.0,48.0,6.0,6.0,2.0,97.0,93.29,4.56,2.03,212.0,ACTUAL,,,,,,
2022-11,329323.0,3951880.0,1511,310029.0,30121.0,12007.0,2929.0,11793.0,16607.0,16657.0,110.0,45.0,11.0,50.0,69.0,173.0,110.0,45.0,11.0,6.0,1.0,94.71,90.84,4.73,1.59,218.0,ACTUAL,,,,,,
2022-12,336719.0,4040630.0,1511,329323.0,24549.0,12382.0,3941.0,9936.0,21375.0,9561.0,100.0,59.0,14.0,45.0,114.0,179.0,100.0,58.0,14.0,7.0,0.0,94.25,90.49,7.54,1.31,223.0,ACTUAL,,,,,,
2023-01,385346.0,4624151.0,1712,336719.0,58521.0,6291.0,4477.0,10192.0,12181.0,46916.0,237.0,31.0,19.0,53.0,55.0,298.0,237.0,31.0,19.0,8.0,3.0,95.22,93.36,3.64,3.1,225.0,ACTUAL,,,,,,
2023-02,536019.0,6432227.0,2266,385346.0,145498.0,7546.0,13483.0,4701.0,11237.0,150590.0,549.0,36.0,54.0,28.0,49.0,649.0,549.0,36.0,54.0,5.0,5.0,97.82,95.86,2.86,10.45,237.0,ACTUAL,,,,,,
2023-03,597177.0,7166127.0,2479,536019.0,66932.0,9514.0,4456.0,5475.0,12328.0,63099.0,244.0,44.0,15.0,30.0,46.0,319.0,244.0,44.0,15.0,14.0,2.0,98.45,96.68,2.03,4.54,241.0,ACTUAL,,,,,,
2023-04,650882.0,7810579.0,2687,597177.0,65127.0,7366.0,1875.0,6212.0,14820.0,53336.0,253.0,37.0,8.0,40.0,53.0,317.0,253.0,37.0,8.0,18.0,1.0,97.71,96.48,2.14,3.54,242.0,ACTUAL,,,,,,
2023-05,695477.0,8345721.0,2831,650882.0,49975.0,10463.0,5088.0,8375.0,15663.0,41488.0,184.0,53.0,19.0,73.0,59.0,322.0,184.0,53.0,19.0,45.0,21.0,97.91,96.31,2.2,2.73,246.0,ACTUAL,,,,,,
2023-06,737183.0,8846199.0,2972,695477.0,65694.0,12312.0,3216.0,8048.0,27733.0,45440.0,224.0,48.0,13.0,43.0,96.0,305.0,224.0,48.0,13.0,12.0,8.0,96.63,94.86,3.39,2.27,248.0,ACTUAL,,,,,,
2023-07,806614.0,9679366.0,3190,737183.0,72659.0,17119.0,4814.0,8099.0,17062.0,69431.0,267.0,63.0,18.0,49.0,67.0,370.0,267.0,63.0,18.0,14.0,8.0,98.91,96.59,2.25,3.76,253.0,ACTUAL,,,,,,
2023-08,898414.0,10780972.0,3397,806614.0,77296.0,29324.0,9997.0,8809.0,16007.0,91801.0,244.0,103.0,24.0,51.0,61.0,380.0,244.0,103.0,24.0,6.0,3.0,100.56,96.92,1.91,4.7,264.0,ACTUAL,,,,,,
2023-09,953082.0,11436982.0,3596,898414.0,76413.0,19508.0,3256.0,23742.0,20768.0,54668.0,261.0,78.0,12.0,103.0,74.0,366.0,261.0,78.0,12.0,10.0,5.0,97.22,95.05,2.18,2.23,265.0,ACTUAL,,,,,,
2023-10,1033904.0,12406854.0,3796,953082.0,87848.0,31759.0,7180.0,24764.0,21200.0,80823.0,249.0,102.0,25.0,72.0,74.0,389.0,249.0,102.0,25.0,10.0,3.0,98.51,95.18,2.06,2.76,272.0,ACTUAL,,,,,,
